,count,mean,std,min,25%,50%,75%,max
Open,3720.0,3293.601416507844,1590.6320858476035,1097.4200439453125,2044.3374938964844,2817.9100341796875,4336.482421875,7605.31005859375
High,3720.0,3310.9360690209173,1598.6496981121204,1125.1199951171875,2055.8274536132812,2835.6849365234375,4365.8148193359375,7620.89990234375
Low,3720.0,3275.1134295719926,1581.973737983836,1074.77001953125,2034.7674865722656,2801.5050048828125,4303.972412109375,7582.990234375
Close,3720.0,3294.3625991985364,1590.9239732853903,1099.22998046875,2044.1050109863281,2818.6400146484375,4337.8125,7609.77978515625
Volume,3720.0,4027222572.580645,1017679732.7919729,0.0,3380492500.0,3810315000.0,4465777500.0,10025820000.0
return,3720.0,0.0005665319918419871,0.010660287021289514,-0.11984055240393443,-0.0037408953116621624,0.000695008297287858,0.005694349029531309,0.09515387644904849
log_return,3720.0,0.0005094403268817929,0.01068263356723458,-0.12765219747281742,-0.003747909960510055,0.0006947668894485335,0.005678197507893553,0.09089487983303646
sma_10,3720.0,3286.690620655347,1585.137426460407,1141.441015625,2042.9800109863281,2817.3060302734375,4333.012158203125,7545.009033203125
sma_20,3720.0,3278.2693044207176,1578.9971648640114,1162.7745056152344,2045.0019943237303,2807.1225036621095,4324.6162109375,7486.617529296875
sma_50,3720.0,3253.0119738362628,1560.054916040266,1172.0228051757813,2026.526148071289,2798.4548999023436,4336.473488769531,7440.711240234375
ema_12,3720.0,3285.021371360068,1583.5929494506845,1147.3829802783189,2043.7994872617533,2811.0367572981245,4333.279026995043,7526.207738976062
ema_26,3720.0,3273.2759440552304,1574.5684793334567,1164.028088893586,2036.5834509796327,2795.8006036323804,4338.335040454345,7464.204568488037
rsi_14,3720.0,55.84530533681239,11.13701932785993,16.76652917446657,48.14216521282028,57.26132409107997,64.09177099693089,86.68665002844536
macd,3720.0,11.745427304837303,37.13664563335401,-237.02022731943953,-2.0437643559585013,13.2231656984045,29.468630876732277,153.78890613892963
macd_signal,3720.0,11.707131603258228,34.72572774869075,-198.64071508189488,-1.3037965725588696,12.740292263406392,28.071866626914698,142.55159038715223
macd_hist,3720.0,0.0382957015790778,11.778947432073922,-64.50442443514959,-4.064642216216788,0.11100953662314117,4.457597158088088,65.62372560716025
bb_upper,3720.0,3379.7570457280144,1628.9131964336464,1223.2274900932687,2100.922062187373,2914.6007147809805,4468.960609626163,7670.360800572142
bb_lower,3720.0,3176.781563113421,1531.91544618403,1097.0053557323463,1984.5700551870682,2727.622490217743,4171.171801647296,7332.031855162235
bb_width,3720.0,0.06085267258043354,0.03991295844357757,0.010767463637410378,0.03692528628133605,0.05183796617742417,0.07264519280380838,0.4447931713066547
atr_14,3720.0,39.813145960013685,27.423313693155933,9.314711126042186,17.289731556414107,32.5234416336769,55.851622978623716,198.14682885138234
momentum_10,3720.0,17.005094236968667,108.06255577153564,-793.8798828125,-20.99517822265625,19.324951171875,63.98492431640625,623.65966796875
yield_10y,3720.0,2.60327526733119,1.065429718359312,0.49900001287460327,1.8140000104904175,2.3765000104904175,3.4597500562667847,4.98799991607666
vix,3720.0,17.99910485103566,6.712112925254109,9.140000343322754,13.569999694824219,16.299999237060547,20.492499828338623,82.69000244140625
vix_change,3720.0,0.002926866089719019,0.08309235655190371,-0.35753873962348437,-0.042215967402007504,-0.006564915787366732,0.03591983186666553,1.1559792516603906
yield_change,3720.0,0.0007779570356492073,0.052003109097322614,-0.32200002670288086,-0.029999971389770508,0.0,0.031000137329101562,0.2690000534057617
garch_vol,3720.0,0.008939523208758172,0.00511642766047215,0.004327741984049799,0.006577295955711351,0.006958203462458808,0.010202431075012772,0.07752251787242181
next_return,3720.0,0.0005648970430254865,0.010659907281682389,-0.11984055240393443,-0.0037408953116621624,0.0006919970272523113,0.005690680717571617,0.09515387644904849
target_up,3720.0,0.5454301075268817,0.4979987678118518,0.0,0.0,1.0,1.0,1.0
